title,release_date,genre,imdb_rating,casts,movie_id
zombieland double tap,2019,"Horror,Action,Comedy",6.7,"Woody Harrelson,Jesse Eisenberg,Emma Stone",186
justice league,2017,"Action,Adventure,Fantasy,Science Fiction",6.4,"Ben Affleck,Gal Gadot,Jason Momoa",187
gemini man,2019,"Action,Thriller",5.7,"Will Smith,Mary Elizabeth Winstead,Clive Owen",188
split,2016,"Horror,Thriller",7.3,"James McAvoy,Anya Taylor-Joy,Haley Lu Richardson",189
the turning,2020,"Horror,Thriller",3.8,"Mackenzie Davis,Finn Wolfhard,Brooklynn Prince",190
fantastic beasts the crimes of grindelwald,2018,"Adventure,Fantasy,Family",6.6,"Eddie Redmayne,Katherine Waterston,Dan Fogler",191
the wolf of wall street,2013,"Crime,Drama,Comedy",8.2,"Leonardo DiCaprio,Jonah Hill,Margot Robbie",192
the lord of the rings the two towers,2002,"Adventure,Fantasy,Action",8.7,"Elijah Wood,Ian McKellen,Viggo Mortensen",193
trainspotting,1996,"Drama,Crime",8.1,"Ewan McGregor,Ewen Bremner,Jonny Lee Miller",194
chappie,2015,"Crime,Action,Science Fiction",6.8,"Sharlto Copley,Dev Patel,Hugh Jackman",195
the lord of the rings the return of the king,2003,"Adventure,Fantasy,Action",8.9,"Elijah Wood,Viggo Mortensen,Ian McKellen",196
pirates of the caribbean dead man s chest,2006,"Adventure,Fantasy,Action",7.3,"Johnny Depp,Orlando Bloom,Keira Knightley",197
nater guru,2003,"Comedy,Drama,Romance",6.4,"Kaushik Bhattacharya,Nimu Bhowmick,Moushumi Chatterjee",198
fury,2014,"War,Drama,Action",7.6,"Brad Pitt,Shia LaBeouf,Logan Lerman",199
fifty shades of grey,2015,"Drama,Romance,Thriller",4.1,"Dakota Johnson,Jamie Dornan,Jennifer Ehle",200
the butterfly effect 3 revelations,2009,"Science Fiction,Thriller,Drama,Crime",5.6,"Chris Carmack,Rachel Miner,Melissa Jones",201
my neighbor totoro,1988,"Fantasy,Animation,Family",8.2,"Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto",202
the occupant,2020,Science Fiction,6.7,"Helen Baranova,Ivan Shvedoff,Jameel Arsheed",203
your name,2016,"Romance,Drama",7.9,"Armie Hammer,Timothée Chalamet,Michael Stuhlbarg",204
aladdin,1992,"Adventure,Fantasy,Romance,Comedy,Family",7.0,"Will Smith,Mena Massoud,Naomi Scott",205
the lion king,1994,"Adventure,Family",6.9,"Donald Glover,Beyoncé,Seth Rogen",206
tomorrowland,2015,"Adventure,Family,Mystery,Science Fiction",6.4,"George Clooney,Britt Robertson,Hugh Laurie",207
the hobbit an unexpected journey,2012,"Adventure,Fantasy,Action",7.8,"Martin Freeman,Ian McKellen,Richard Armitage",208
man on fire,2004,"Action,Drama,Thriller",7.7,"Denzel Washington,Christopher Walken,Dakota Fanning",209
spider man into the spider verse,2018,"Action,Adventure,Animation,Science Fiction,Comedy",8.4,"Shameik Moore,Jake Johnson,Hailee Steinfeld",210
venom,2018,"Science Fiction,Action",6.7,"Tom Hardy,Michelle Williams,Riz Ahmed",211
run all night,2015,"Action,Drama,Thriller",6.6,"Liam Neeson,Ed Harris,Joel Kinnaman",212
cowboy bebop the movie,2001,"Action,Animation,Science Fiction",7.9,"Beau Billingslea,Melissa Fahn,Nicholas Guest",213
maze runner the death cure,2018,"Action,Science Fiction",6.2,"Dylan O'Brien,Ki Hong Lee,Kaya Scodelario",214
pulp fiction,1994,"Thriller,Crime",8.9,"John Travolta,Uma Thurman,Samuel L. Jackson",215
charlie s angels,2019,"Action,Adventure,Comedy",4.7,"Kristen Stewart,Naomi Scott,Ella Balinska",216
how to train your dragon homecoming,2019,"Animation,Fantasy,Adventure,Action,Family",7.3,"Jay Baruchel,America Ferrera,Craig Ferguson",217
shrek,2001,"Adventure,Animation,Comedy,Family,Fantasy",7.8,"Mike Myers,Eddie Murphy,Cameron Diaz",218
finding nemo,2003,"Animation,Family",8.1,"Albert Brooks,Ellen DeGeneres,Alexander Gould",219
thor the dark world,2013,"Action,Adventure,Fantasy",6.9,"Chris Hemsworth,Natalie Portman,Tom Hiddleston",220
solo a star wars story,2018,"Adventure,Science Fiction",6.9,"Alden Ehrenreich,Woody Harrelson,Emilia Clarke",221
beauty and the beast,1991,"Romance,Family,Animation,Fantasy",8.0,"Paige O'Hara,Robby Benson,Jesse Corti",222
godzilla king of the monsters,2019,"Science Fiction,Action",6.0,"Kyle Chandler,Vera Farmiga,Millie Bobby Brown",223
portrait of a lady on fire,2019,"Drama,Romance",8.1,"Noémie Merlant,Adèle Haenel,Luàna Bajrami",224
pok mon detective pikachu,2019,"Action,Adventure,Fantasy",6.6,"Ryan Reynolds,Justice Smith,Kathryn Newton",225
terminator 2 judgment day,1991,"Action,Thriller,Science Fiction",8.5,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",226
blade runner,1982,"Science Fiction,Drama,Thriller",8.1,"Harrison Ford,Rutger Hauer,Sean Young",227
iron man 2,2010,"Adventure,Action,Science Fiction",7.0,"Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow",228
men in black,1997,"Action,Adventure,Comedy,Science Fiction",7.3,"Tommy Lee Jones,Will Smith,Linda Fiorentino",229
the imitation game,2014,"History,Drama,Thriller,War",8.0,"Benedict Cumberbatch,Keira Knightley,Matthew Goode",230
birdman or the unexpected virtue of ignorance,2014,"Drama,Comedy",7.7,"Michael Keaton,Zach Galifianakis,Edward Norton",231
the godfather part ii,1974,"Drama,Crime",9.0,"Al Pacino,Robert De Niro,Robert Duvall",232
jocks,1986,Comedy,3.8,"Scott Strader,Perry Lang,Mariska Hargitay",233
one day,2011,"Drama,Romance",7.0,"Anne Hathaway,Jim Sturgess,Patricia Clarkson",234
re zero kara hajimeru isekai seikatsu memory snow,2018,"Animation,Adventure,Fantasy",6.6,unknown,235
300 rise of an empire,2014,"Action,War,Fantasy",6.2,"Sullivan Stapleton,Eva Green,Lena Headey",236
hotel belgrad,2020,Drama,6.4,Nebojsa Glogovac,237
