release_date,popularity,vote_count,genre,productions,imdb_rating,director,casts
2007,45.927,12457,adventure fantasy mystery,warner-bros.-pictures heyday-films,7.5,david-yates,daniel-radcliffe emma-watson rupert-grint
2019,45.684,1423,horror drama fantasy thriller,warner-bros.-pictures vertigo-entertainment intrepid-pictures,7.4,mike-flanagan,ewan-mcgregor rebecca-ferguson kyliegh-curran
2005,45.649,12812,adventure fantasy family,warner-bros.-pictures heyday-films patalex-iv-productions-limited,7.7,mike-newell,daniel-radcliffe emma-watson rupert-grint
2016,45.511,15755,adventure action science-fiction,marvel-studios,7.8,unknown,chris-evans robert-downey-jr. scarlett-johansson
2014,45.338,11350,adventure family animation action comedy,walt-disney-animation-studios walt-disney-pictures,7.8,unknown,ryan-potter scott-adsit jamie-chung
2020,44.935,112,drama,romulus-entertainment hyphenate-films iam21-entertainment mad-hatter-entertainment,7.2,george-nolfi,anthony-mackie samuel-l.-jackson nicholas-hoult
2019,44.725,1461,action thriller drama,millennium-films balboa-productions templeton-media campbell-grobman-films dadi-film-group,6.2,adrian-grunberg,sylvester-stallone paz-vega sergio-peris-mencheta
2001,44.69600000000001,16434,adventure fantasy action,new-line-cinema wingnut-films the-saul-zaentz-company,8.8,peter-jackson,elijah-wood ian-mckellen orlando-bloom
2017,44.684,14406,action adventure comedy science-fiction,marvel-studios,7.6,james-gunn,chris-pratt zoe-saldana dave-bautista
1994,44.645,9055,crime drama action,gaumont les-films-du-dauphin,8.5,luc-besson,jean-reno gary-oldman natalie-portman
2019,44.222,2375,fantasy family adventure,walt-disney-pictures roth-films,6.6,joachim-rønning,angelina-jolie elle-fanning harris-dickinson
2001,44.055,2274,action comedy crime,new-line-cinema,6.6,brett-ratner,jackie-chan chris-tucker john-lone
2019,43.937,565,horror thriller,wrigley-pictures universal-pictures stx-films,5.4,justin-dec,elizabeth-lail jordan-calloway talitha-eliana-bateman
2011,43.56,14452,adventure fantasy action,marvel-studios paramount,7.0,kenneth-branagh,chris-hemsworth anthony-hopkins natalie-portman
2016,43.474,22225,action adventure comedy,marvel-entertainment tsg-entertainment 20th-century-fox genre-films the-donners'-company,8.0,tim-miller,ryan-reynolds morena-baccarin t.j.-miller
2008,43.464,8527,fantasy drama romance,summit-entertainment temple-hill-entertainment imprint-entertainment maverick-films twilight-productions,5.2,catherine-hardwicke,kristen-stewart robert-pattinson billy-burke
1986,43.462,946,animation family adventure mystery,silver-screen-partners-ii walt-disney-pictures,7.2,unknown,vincent-price barrie-ingham val-bettin
2015,43.327,643,action crime thriller,survivor-productions nu-image winkler-films millennium-films,5.6,james-mcteigue,milla-jovovich pierce-brosnan dylan-mcdermott
2009,43.23,20778,action adventure fantasy science-fiction,dune-entertainment lightstorm-entertainment 20th-century-fox ingenious-media,7.8,james-cameron,sam-worthington zoe-saldana sigourney-weaver
2018,43.227,10796,action comedy adventure,marvel-entertainment 20th-century-fox kinberg-genre maximum-effort tsg-entertainment,7.7,david-leitch,ryan-reynolds josh-brolin morena-baccarin
2015,43.199,15376,action adventure science-fiction,marvel-studios,7.3,joss-whedon,robert-downey-jr. chris-evans mark-ruffalo
2020,43.07899999999999,0,comedy adventure,oculi-entertainment,3.9,david-wall,darin-brooks chris-romano david-wysocki
2018,43.0,14662,action adventure fantasy science-fiction,marvel-studios walt-disney-pictures,7.3,ryan-coogler,chadwick-boseman michael-b.-jordan lupita-nyong'o
2011,42.96,215,drama war,stanley-kubrick-productions,5.5,stanley-kubrick,frank-silvera kenneth-harp paul-mazursky
2014,42.927,9318,drama music,bold-films blumhouse-productions right-of-way-films,8.5,damien-chazelle,miles-teller j.k.-simmons melissa-benoist
2005,42.747,219,comedy animation adventure,20th-century-fox-television fuzzy-door-productions 20th-century-fox-animation 20th-century-fox,7.6,unknown,seth-macfarlane alex-borstein seth-green
2004,42.735,13381,adventure fantasy,warner-bros.-pictures 1492-pictures heyday-films,7.9,alfonso-cuarón,daniel-radcliffe emma-watson rupert-grint
2017,42.645,13408,action adventure comedy fantasy,marvel-studios walt-disney-pictures,7.9,taika-waititi,chris-hemsworth tom-hiddleston cate-blanchett
2014,42.464,12120,mystery thriller drama,regency-enterprises new-regency-pictures pacific-standard tsg-entertainment artemple---hollywood 20th-century-fox,8.1,david-fincher,ben-affleck rosamund-pike neil-patrick-harris
2015,42.412,5958,science-fiction action thriller adventure,skydance-media paramount,6.3,alan-taylor,arnold-schwarzenegger jason-clarke emilia-clarke
2011,42.402,20,history drama,lazona-films warner-bros.-international-television-production-españa,6.0,chema-de-la-peña,paco-tous juan-diego fernando-cayo
2014,42.309,11191,science-fiction adventure thriller,lionsgate color-force,6.6,francis-lawrence,jennifer-lawrence josh-hutcherson liam-hemsworth
1995,42.0,3701,thriller action crime,columbia-pictures platinum-dunes 2.0-entertainment don-simpson/jerry-bruckheimer-films overbrook-entertainment,6.7,unknown,will-smith martin-lawrence vanessa-hudgens
2018,41.247,10483,drama music,gk-films regency-enterprises queen-films tribeca-productions new-regency-pictures 20th-century-fox,8.0,bryan-singer,rami-malek lucy-boynton gwilym-lee
1995,40.97,3739,action thriller,cinergi-pictures-entertainment 20th-century-fox,7.6,john-mctiernan,bruce-willis jeremy-irons samuel-l.-jackson
2019,40.914,3107,crime drama history,tribeca-productions sikelia-productions winkler-films,7.9,martin-scorsese,robert-de-niro al-pacino joe-pesci
1985,40.684,927,horror,new-line-cinema smart-egg-pictures,5.5,jack-sholder,robert-englund mark-patton kim-myers
1998,40.476,9781,drama history war,paramount amblin-entertainment mutual-film-company dreamworks-pictures the-mark-gordon-company,8.6,steven-spielberg,tom-hanks matt-damon tom-sizemore
2001,40.37,9009,documentary animation,unknown,6.9,brent-zacky,steve-alpert jerry-beck dave-bossert
2019,40.331,3310,animation family adventure,dreamworks-animation universal-pictures,7.5,dean-deblois,jay-baruchel america-ferrera f.-murray-abraham
2019,40.271,2241,crime drama thriller action,sony-pictures-television gran-via-productions high-bridge-entertainment,7.3,vince-gilligan,aaron-paul jonathan-banks matt-jones
2019,39.827,611,war history action drama,agc-studios centropolis-entertainment entertainment-one ruyi-media starlight-culture-entertainment-group street-entertainment the-mark-gordon-company,6.7,roland-emmerich,ed-skrein patrick-wilson woody-harrelson
2016,39.673,2782,comedy crime drama,the-mark-gordon-company green-hat-films joint-effort warner-bros.-pictures,7.1,todd-phillips,jonah-hill miles-teller steve-lantz
2014,39.552,924,family comedy,walt-disney-pictures 21-laps-entertainment the-jim-henson-company,6.2,miguel-arteta,steve-carell jennifer-garner ed-oxenbould
2015,39.35,14458,drama comedy animation family,pixar walt-disney-pictures,8.1,unknown,amy-poehler bill-hader lewis-black
2014,39.268,4726,science-fiction action adventure fantasy comedy,nickelodeon-movies paramount platinum-dunes,5.8,jonathan-liebesman,megan-fox will-arnett william-fichtner
2020,39.037,7,action adventure science-fiction fantasy,toei-company ltd. ishinomori-productions,5.7,satoshi-morota,rihito-itagaki hiroaki-iwanaga kentarô-kanesaki
1999,39.001,16481,action science-fiction,village-roadshow-pictures groucho-ii-film-partnership silver-pictures warner-bros.-pictures,8.7,unknown,keanu-reeves laurence-fishburne carrie-anne-moss
2019,38.865,4823,thriller drama science-fiction,universal-pictures blumhouse-productions blinding-edge-pictures buena-vista-international perfect-world-pictures,6.7,m.-night-shyamalan,james-mcavoy bruce-willis samuel-l.-jackson
2018,38.752,114,action thriller science-fiction,capital-arts-entertainment ufo-international-productions universal-1440-entertainment,5.2,don-michael-paul,lucy-aarden nicholas-aaron jasette-amos
1984,38.627,7989,action thriller science-fiction,orion-pictures pacific-western hemdale-film cinema-84 euro-film-funding,8.0,james-cameron,arnold-schwarzenegger linda-hamilton michael-biehn
2015,38.555,13712,drama adventure science-fiction,scott-free-productions mid-atlantic-films international-traders tsg-entertainment genre-films 20th-century-fox,8.0,ridley-scott,matt-damon jessica-chastain kristen-wiig
2017,38.391,7360,thriller action crime,thunder-road 87eleven lionsgate,7.5,chad-stahelski,keanu-reeves riccardo-scamarcio ian-mcshane
2008,38.365,17828,action science-fiction adventure,marvel-studios paramount fairview-entertainment,7.9,jon-favreau,robert-downey-jr. gwyneth-paltrow terrence-howard
