release_date,popularity,vote_count,genre,productions,imdb_rating,director,casts
2015,9.371,81,documentary,unknown,7.1,jon-schnepp,nicolas-cage tim-burton kevin-smith
2001,9.371,8,unknown,aascar-films,6.3,ezhil,ajith-kumar jyotika nagesh
2012,9.371,305,drama comedy,wild-bunch les-films-du-fleuve british-film-institute entertainment-one sixteen-films urania-pictures-s.r.l.,7.0,ken-loach,paul-brannigan john-henshaw roger-allam
1993,9.371,185,drama,mirage-enterprises,7.4,steven-zaillian,joe-mantegna ben-kingsley max-pomeranc
2013,9.367,294,thriller crime drama,chi-fou-mi-productions wild-bunch lgm-productions les-productions-du-trésor mars-distribution worldview-entertainment ciné+ m6 caneo-films grisbi-productions france-4 w9 treasure-company canal+ france-3-cinéma france-télévisions,6.5,guillaume-canet,clive-owen marion-cotillard billy-crudup
2011,9.366,170,adventure action science-fiction,red-chillies-entertainment eros-international prime-focus,4.6,anubhav-sinha,shah-rukh-khan arjun-rampal kareena-kapoor
1964,9.366,82,action fantasy science-fiction,toho-company ltd.,6.7,ishirô-honda,yôsuke-natsuki yuriko-hoshi hiroshi-koizumi
2019,9.365,33,animation comedy fantasy family,warner-bros.-animation hanna-barbera-productions,5.7,unknown,frank-welker grey-griffin matthew-lillard
2017,9.365,76,comedy romance horror,shaftesbury-films,6.6,spencer-maybee,elise-bauman natasha-negovanlis annie-briggs
2017,9.365,145,mystery drama,gamechanger-films snowfort-pictures everything-is-everything,6.1,sarah-adina-smith,rami-malek dj-qualls kate-lyn-sheil
1970,9.364,95,comedy western action,warner-bros.-pictures,7.2,sam-peckinpah,jason-robards stella-stevens david-warner
2001,9.364,200,fantasy comedy science-fiction romance,paramount alphaville-films,5.5,unknown,chris-rock regina-king chazz-palminteri
2016,9.363,298,drama horror thriller,relativity-media,3.9,d.j.-caruso,kate-beckinsale mel-raido duncan-joiner
2003,9.363,175,drama history,eikon-film thrivent-financial-for-lutherans nfp-teleart-berlin,6.5,eric-till,joseph-fiennes bruno-ganz peter-ustinov
1957,9.362,162,western,lionsgate tree-line-films relativity-media yuma,7.7,james-mangold,russell-crowe christian-bale ben-foster
2006,9.362,83,fantasy animation comedy family mystery adventure,warner-bros.-animation,6.6,chuck-sheetz,frank-welker casey-kasem mindy-cohn
1942,9.361,82,comedy romance,paramount,7.5,preston-sturges,claudette-colbert joel-mccrea mary-astor
1994,9.36,368,drama horror,atlas-independent unbroken-pictures,5.4,bryan-bertino,zoe-kazan ella-ballentine aaron-douglas
2009,9.356,408,horror,ambience-entertainment screen-australia omnilab-media film-victoria miff-premiere-fund,6.6,sean-byrne,xavier-samuel robin-mcleavy john-brumpton
2017,9.355,96,comedy drama music,qc-entertainment mister-lister-films,6.6,zoe-lister-jones,zoe-lister-jones adam-pally fred-armisen
2004,9.355,107,drama,kim-ki-duk-film show-east,7.1,ki-duk-kim,eol-lee ji-min-kwak yeo-reum-han
2002,9.354,505,drama comedy,delux-productions kasander-&-wigman-productions continent-film-gmbh movie-masters woodline-productions,5.8,peter-greenaway,john-standing matthew-delamere vivian-wu
2020,9.352,0,drama crime,porchlight-films dirty-films,6.2,rowan-woods,cate-blanchett sam-neill hugo-weaving
1979,9.352,163,adventure drama comedy science-fiction thriller,orion-pictures,7.1,nicholas-meyer,malcolm-mcdowell mary-steenburgen david-warner
1970,9.352,157,unknown,unknown,6.6,william-hale,david-janssen trish-van-devere ben-bottoms
2012,9.348,200,comedy,unknown,4.4,dylan-c.-brown,snoop-dogg wiz-khalifa mike-epps
2008,9.348,94,animation action adventure science-fiction,toei-animation bird-studios shueisha,7.2,yoshihiro-ueda,masako-nozawa ryô-horikawa tôru-furuya
2013,9.347,143,romance comedy,nomadic-pictures serendipity-point-films,6.1,jeremiah-s.-chechik,ryan-kwanten kristen-hager maria-menounos
2004,9.347,161,drama,ashutosh-gowariker-productions utv-motion-pictures,8.2,ashutosh-gowariker,shah-rukh-khan gayatri-joshi kishori-ballal
2011,9.346,1761,crime drama thriller,sidney-kimmel-entertainment lionsgate lakeshore-entertainment,7.3,brad-furman,matthew-mcconaughey marisa-tomei ryan-phillippe
2001,9.346,96,crime drama,metro-goldwyn-mayer,5.7,edward-l.-cahn,bruce-cabot virginia-grey edward-norris
2002,9.346,109,horror,studiocanal universal-pictures wt2-productions working-title-films imx-communications,5.5,marc-evans,sean-cw-johnson kris-lemche stephen-o'reilly
1980,9.345,110,crime drama romance,paramount canadian-film-development-corporation-(cfdc) famous-players-limited selta-films international-cinema-corporation-(icc) cine-neighbor,7.3,louis-malle,burt-lancaster susan-sarandon kate-reid
1999,9.344,175,comedy family,snl-studios,5.2,bruce-mcculloch,molly-shannon will-ferrell elaine-hendrix
2018,9.342,65,drama,pure-flix-productions,4.5,michael-mason,megan-alexander adeeja-rochele-anderson carrlyn-bathe
2011,9.34,262,war action thriller,unknown,5.1,isaac-florentine,marshall-r.-teague tim-abell danny-lee-clark
2003,9.34,152,drama crime thriller,jerry-bruckheimer-films touchstone-pictures,6.9,joel-schumacher,cate-blanchett colin-farrell brenda-fricker
2006,9.339,679,drama mystery,focus-features bergman-lustig-productions,7.3,rian-johnson,joseph-gordon-levitt lukas-haas emilie-de-ravin
2020,9.338,0,romance drama,unknown,6.4,karl-golden,harry-treadaway emma-booth ali-craig
2015,9.338,180,drama,motlys animal-kingdom arte-france-cinéma,6.6,joachim-trier,jesse-eisenberg gabriel-byrne isabelle-huppert
2004,9.338,94,drama horror thriller,riding-the-bullet-production motion-picture-corporation-of-america apollo-productions,5.2,mick-garris,jonathan-jackson david-arquette barbara-hershey
2018,9.337,206,mystery thriller,chimney irish-dreamtime,5.6,simon-kaijser,guy-pearce pierce-brosnan minnie-driver
2015,9.337,75,horror,good-universe mosaic-films institution-post,4.7,james-moran,alexandra-breckenridge chris-marquette jake-mcdorman
1998,9.337,91,adventure comedy western,di-novi-pictures turner-pictures-(i),5.9,christopher-guest,chris-farley matthew-perry bokeem-woodbine
1954,9.337,147,drama romance music,thunder-road 22-&-green gerber-pictures joint-effort malpaso-productions warner-bros.-pictures live-nation-productions,7.7,bradley-cooper,lady-gaga bradley-cooper sam-elliott
2013,9.334,340,action thriller,contentfilm piccadilly-pictures atlantic-swiss-productions blue-lake-media-fund furst-films matador-pictures ufilm le-tax-shelter-du-gouvernement-fédéral-de-belgique echo-lake-entertainment,5.6,kasper-barfoed,john-cusack malin-akerman liam-cunningham
2012,9.333,97,music comedy romance drama,steel-mill-pictures coolmore-productions egoli-tossell-film,7.0,paul-andrew-williams,terence-stamp gemma-arterton christopher-eccleston
2008,9.332,198,horror,d.o.d.-productions taurus-entertainment-company emmett/furla-films millennium-films nu-image,4.5,steve-miner,mena-suvari nick-cannon michael-welch
2018,9.331,153,drama adventure,bbc-films blueprint-pictures,6.0,james-marsh,rachel-weisz david-thewlis colin-firth
2016,9.331,109,animation family comedy,dreamworks-animation,7.1,rodolphe-guenoden,jack-black eliott-guenoden james-hong
1993,9.331,398,comedy,donner/shuler-donner-productions northern-lights-entertainment warner-bros.-pictures,6.8,ivan-reitman,kevin-kline sigourney-weaver frank-langella
2003,9.331,194,documentary,hbo-documentary-films notorious-pictures,7.7,andrew-jarecki,arnold-friedman jesse-friedman david-friedman
2000,9.329,76,animation crime thriller,toho-company ltd.,7.6,kenji-kodama,minami-takayama wakana-yamazaki kappei-yamaguchi
1950,9.328,179,crime drama,ultramar-films,8.3,luis-buñuel,alfonso-mejía roberto-cobo estela-inda
2013,9.326,184,drama comedy music,diamond-films ascot-elite-entertainment-group the-weinstein-company relevant-entertainment syco-television,6.8,david-frankel,james-corden alexandra-roach julie-walters
2011,9.326,290,action comedy horror mystery science-fiction thriller,hyde-park-films platinum-studios long-distance-films,5.1,kevin-munroe,brandon-routh anita-briem sam-huntington
2010,9.326,351,comedy drama,echo-lake-entertainment premiere-picture,6.5,derrick-borte,demi-moore david-duchovny amber-heard
2003,9.326,145,action drama,dreamworks-pictures,4.7,reggie-rock-bythewood,laurence-fishburne derek-luke orlando-jones
2019,9.324,173,drama comedy,gaumont mandarin-films france-2-cinéma scope-pictures,6.7,rémi-bezançon,fabrice-luchini camille-cottin alice-isaaz
2017,9.324,159,action comedy,miscellaneous-entertainment starstream-media rookfield-productions wwkg-productions folktale-productions ingenious-media rowdy-row-productions ruyi-media,4.8,taran-killam,taran-killam dave-'squatch'-ward bobby-moynihan
2019,9.323,31,science-fiction horror comedy,unknown,5.7,unknown,mary-nepi gabrielle-elyse j.j.-nolan
2015,9.321,175,drama,radish-creative-group bottom-line-entertainment,7.0,amy-s.-weber,lexi-ainsworth hunter-king jimmy-bennett
1947,9.321,82,crime drama thriller,two-cities-films,7.7,carol-reed,james-mason robert-newton cyril-cusack
2011,9.32,287,horror war,the-manchester-film-school,8.7,helen-lyons-curran,garry-graham-smith michael-j.-tait ian-malcolm-müller
2018,9.319,55,horror action science-fiction tv-movie,out-of-africa-entertainment blue-ice-pictures,3.5,darrell-roodt,katherine-barrell tim-rozon sai-bennett
2015,9.319,123,adventure drama family romance,samfilm constantin-film,6.5,katja-von-garnier,hanna-binke jannis-niewöhner marvin-linke
2009,9.319,348,action comedy,six-point-harness destination-films goliath-entertainment ars-nova,7.4,scott-sanders,michael-jai-white arsenio-hall tommy-davidson
2013,9.318,141,documentary music,roswell-films therapy-content,7.8,dave-grohl,trent-reznor tom-petty mick-fleetwood
2007,9.317,198,mystery thriller,bocaboca-producciones notro-films,6.7,unknown,alejo-sauras elena-ballesteros lluís-homar
1994,9.316,110,action science-fiction thriller mystery,thunder-road fundamental-films film-afrika-worldwide,5.8,brian-smrz,ethan-hawke qing-xu paul-anderson
2006,9.315,75,drama fantasy romance,apex-entertainment silver-reel mayhem-pictures lotus-entertainment,5.4,scott-hicks,addison-timlin joely-richardson jeremy-irvine
2010,9.315,79,adventure action thriller,philippe-martinez-productions perpetual-media-capital arramis-films alchemedia-films voltage-pictures,4.7,giorgio-serafini,wesley-snipes aunjanue-ellis zoë-bell
2007,9.315,175,action adventure animation science-fiction,menithings-llc,6.5,aristomenis-tsirbas,evan-rachel-wood luke-wilson justin-long
1903,9.315,287,crime action western,edison-manufacturing-company,7.3,edwin-s.-porter,gilbert-m.-'broncho-billy'-anderson a.c.-abadie george-barnes
2005,9.315,169,drama comedy,pathé-pictures-international screen-ireland northern-ireland-screen parallel-film-productions number-9-films,7.2,neil-jordan,cillian-murphy morgan-jones eva-birthistle
2017,9.314,38,drama,sepia-films,5.1,vanessa-parise,haley-pullos sasha-clements judd-nelson
2004,9.312,188,family action adventure,fox-2000-pictures mad-chance mediastream-dritte-film-gmbh-&-co.-beteiligungs-kg splendid-productions nimbus-film 20th-century-fox,5.2,bart-freundlich,kristen-stewart sam-robards jennifer-beals
1998,9.312,153,comedy,tomboy-films canal+,7.3,kirk-jones,ian-bannen david-kelly fionnula-flanagan
2017,9.31,67,comedy,boies/schiller-film-group rivers-edge-films,5.1,scott-zabielski,andrew-bachelor logan-paul kat-graham
2016,9.31,17,drama romance tv-movie,unknown,6.4,anne-wheeler,rachel-boston niall-matter lini-evans
2015,9.31,278,crime drama,soficinéma-11 france-2-cinéma why-not-productions ciné+ région-ile-de-france page-114 cofinova-11 la-banque-postale-image-8 indéfilms-3 palatine-étoile-12 cinémage-9 a-plus-image-5 sofitvciné-2 canal+ france-télévisions,7.2,jacques-audiard,jesuthasan-antonythasan kalieaswari-srinivasan claudine-vinasithamby
1972,9.31,296,adventure drama science-fiction,universal-pictures trumbull/gruskoff-productions,6.7,douglas-trumbull,bruce-dern cliff-potts ron-rifkin
2004,9.309,129,horror,alpha-studios core-vision-films lexicon-entertainment room-in-the-sky-films the-panoptic-group,4.0,david-matalon,liam-mcintyre aundrea-smith steven-swadling
1970,9.309,35,comedy drama,stallion-releasing-inc.,2.6,morton-m.-lewis,sylvester-stallone henrietta-holm jodi-van-prang
2012,9.307,185,action comedy crime,lleju-productions state-street-pictures,6.4,barry-battles,billy-bob-thornton eva-longoria thomas-brodie-sangster
2018,9.306,96,family comedy,head-gear-films the-exchange metrol-technology bondit wagging-tale-productions buena-vista-international,5.8,mandie-fletcher,sam-fletcher beattie-edmondson rupert-holliday-evans
2018,9.306,157,thriller horror,genco rim-entertainment eleven-arts,5.4,ryûhei-kitamura,kelly-connaire stephanie-pearson rod-hernandez
2007,9.306,113,science-fiction tv-movie,bbc-wales,7.6,james-strong,david-tennant kylie-minogue geoffrey-palmer
2003,9.304,141,war documentary history,senart-films radicalmedia,8.1,errol-morris,robert-mcnamara john-f.-kennedy fidel-castro
1969,9.304,195,action drama horror science-fiction thriller,gk-films paramount hemisphere-media-capital 2dux² apparatus-productions latina-pictures skydance-media plan-b-entertainment,7.0,marc-forster,brad-pitt mireille-enos daniella-kertesz
2017,9.303,771,family,full-twisting-double-back,5.6,clay-glen,kelli-berglund lili-karamalikis tess-fowler
1998,9.303,222,action drama crime thriller mystery,columbia-pictures brillstein-grey-entertainment wcg-entertainment-productions sony-pictures,6.2,antoine-fuqua,yun-fat-chow mira-sorvino michael-rooker
2000,9.302,127,comedy science-fiction,cinevent helkon-media,3.6,allan-a.-goldstein,leslie-nielsen ophélie-winter ezio-greggio
2017,9.3,239,romance war comedy drama,bbc-films hanway-films number-9-films filmgate-films ripken-productions pinewood-pictures wildgaze-films film-i-väst,6.8,lone-scherfig,gemma-arterton sam-claflin bill-nighy
1981,9.3,172,mystery horror,lionsgate,5.4,patrick-lussier,jensen-ackles jaime-king kerr-smith
2017,9.298,77,war action drama,spring-era-film-company beijing-dongfang-international-cultural-communications-company beijing-century-media-culture chao-feng-pictures orange-image,6.0,jing-wu,jing-wu frank-grillo celina-jade
1993,9.297,523,animation comedy family,aardman-animations,8.3,nick-park,peter-sallis
2007,9.296,86,tv-movie crime drama fantasy thriller animation,madhouse,7.5,tetsurô-araki,keiji-fujiwara aya-hirano hideo-ishikawa
2019,9.294,114,drama history war,mod-producciones himenóptero k&s-films movistar+,7.0,alejandro-amenábar,karra-elejalde eduard-fernández santi-prego
2017,9.293,88,drama,maven-pictures,6.6,maggie-betts,melissa-leo lisa-stewart alyssa-brindley
2016,9.293,209,animation adventure fantasy,studio-mir beijing-enlight-pictures horgos-coloroom-pictures,7.1,unknown,guanlin-ji shangqing-su timmy-xu
1984,9.292,156,drama romance,paramount,6.5,ulu-grosbard,robert-de-niro meryl-streep harvey-keitel
1996,9.292,274,drama history,20th-century-fox,6.8,nicholas-hytner,daniel-day-lewis winona-ryder paul-scofield
2008,9.292,160,thriller science-fiction,signal-film-group low-spark-films automatik-entertainment focus-features,6.1,william-eubank,brenton-thwaites olivia-cooke beau-knapp
1983,9.292,150,comedy drama,enigma-productions goldcrest,7.3,bill-forsyth,burt-lancaster peter-riegert fulton-mackay
1970,9.29,149,war comedy drama,paramount filmways-productions,7.1,mike-nichols,alan-arkin martin-balsam richard-benjamin
1987,9.29,123,action adventure crime drama,ml-delphi-premier-productions tristar-pictures dorica-film,6.3,christopher-cain,jim-belushi louis-gossett-jr. rae-dawn-chong
2007,9.29,303,drama thriller mystery,castle-rock-entertainment timnick-films mandate-pictures riff-raff-film-productions,6.5,kenneth-branagh,michael-caine jude-law harold-pinter
2017,9.289,62,horror comedy animation family fantasy adventure science-fiction,a.-film-production ambient-entertainment-gmbh cool-beans rothkirch-cartoon-film,5.4,unknown,rasmus-hardiker amy-saville jim-carter
1969,9.289,130,comedy family music romance,chenault-productions 20th-century-fox,7.1,gene-kelly,barbra-streisand walter-matthau michael-crawford
2007,9.289,184,drama fantasy horror romance,daniel-bobker-productions berrick-filmproduktion blood-&-chocolate-productions-ltd lakeshore-entertainment metro-goldwyn-mayer,5.5,katja-von-garnier,agnes-bruckner hugh-dancy olivier-martinez
2013,9.288,819,comedy,gerber-pictures warner-bros.-pictures,6.4,peter-segal,robert-de-niro sylvester-stallone kim-basinger
2004,9.287,151,drama horror,copperheart-entertainment 49th-parallel-films,6.4,brett-sullivan,emily-perkins brendan-fletcher katharine-isabelle
1992,9.286,133,family music drama,walt-disney-pictures touchwood-pacific-partners-1,7.0,kenny-ortega,christian-bale bill-pullman robert-duvall
2012,9.285,561,comedy,inferno-pictures don-carmody-productions caramel-films no-trace-camping,6.8,michael-dowse,seann-william-scott jay-baruchel alison-pill
2009,9.285,75,drama romance,mockingbird-pictures everest-entertainment,7.2,rodrigo-garcía,naomi-watts annette-bening kerry-washington
2013,9.284,108,drama music,subotica-entertainment darko-entertainment freeman-film,5.7,john-ridley,andré-benjamin hayley-atwell imogen-poots
2011,9.284,840,drama,the-weinstein-company bbc-films trademark-films uk-film-council lipsync-productions,7.0,simon-curtis,michelle-williams eddie-redmayne kenneth-branagh
1989,9.284,245,horror science-fiction,k2-spirit kaijyu-theater japan-home-video,7.0,shin'ya-tsukamoto,tomorô-taguchi kei-fujiwara nobu-kanaoka
2002,9.283,275,drama family fantasy romance science-fiction,walt-disney-pictures,6.6,jay-russell,alexis-bledel jonathan-jackson sissy-spacek
1980,9.282,18,drama romance,stéphan-films filmédis planet-film-berlin,5.5,david-hamilton,thierry-tevini anja-schüte valérie-dumas
2006,9.282,75,comedy drama romance,brookwell-mcnamara-entertainment,6.3,sean-mcnamara,christy-carlson-romano ross-thomas scott-thompson-baker
1996,9.282,350,action crime drama thriller,balboa-entertainment,7.4,nicolas-winding-refn,kim-bodnia zlatko-buric laura-drasbæk
2020,9.281,0,adventure fantasy science-fiction family,tribeca-productions walt-disney-pictures tkbc,4.1,kenneth-branagh,ferdia-shaw lara-mcdonnell josh-gad
2008,9.281,378,drama,hallmark-hall-of-fame-productions hallmark-entertainment,8.1,peter-werner,james-wolk treat-williams dominic-scott-kay
2009,9.279,554,drama history,scope-invest haut-et-court ciné@ france-2-cinéma cinécinéma france-2 playtime cofinova-5 banque-populaire-images-9 scope-pictures le-tax-shelter-du-gouvernement-fédéral-de-belgique soficapital warner-bros.-pictures canal+,6.7,anne-fontaine,audrey-tautou benoît-poelvoorde alessandro-nivola
2019,9.278,153,comedy drama,quad-films kiss-films ten-films tf1-studio tf1-films-production 14ème-art-production panache-productions la-compagnie-cinématographique-européenne,5.8,mohamed-hamidi,gilles-lellouche malik-bentalha sabrina-ouazani
2002,9.278,233,crime drama thriller,miramax bbc-films celador-productions jonescompany-productions,7.3,stephen-frears,chiwetel-ejiofor audrey-tautou sophie-okonedo
2015,9.277,93,documentary history,tremolo-productions media-ranch motto-pictures,7.6,unknown,gore-vidal william-f.-buckley dick-cavett
2013,9.276,128,drama thriller,récifilms axel-films les-films-du-trésor,6.1,eric-rochant,jean-dujardin cécile-de-france tim-roth
2017,9.275,156,drama comedy thriller crime,rooks-nest-entertainment,5.8,e.l.-katz,nikolaj-coster-waldau robert-forster jacki-weaver
2013,9.274,84,crime thriller,imprint-entertainment most-films extravaganza-entertainment 42-films,5.7,david-a.-armstrong,marton-csokas forest-whitaker jessica-szohr
1991,9.273,89,crime drama romance,yang-&-his-gang-filmmakers jane-balfour-films,8.4,edward-yang,chen-chang lisa-yang kuo-chu-chang
2019,9.272,130,comedy,same-player gaumont tf1-films-production scope-pictures,6.1,eric-lavaine,alexandra-lamy josé-garcia michaël-youn
2009,9.272,90,drama action history,china-film-group-corporation,6.8,teddy-chan,xueqi-wang tony-ka-fai-leung jun-hu
2014,9.271,296,comedy drama romance,castle-rock-entertainment asig-productions envision-entertainment,5.8,rob-reiner,michael-douglas diane-keaton sterling-jerins
2016,9.27,242,family comedy,lionsgate cbs-films participant-media,6.1,steve-carr,griffin-gluck lauren-graham alexa-nisenson
1999,9.27,103,drama tv-movie romance,hybrid,6.9,peter-sullivan,marla-sokoloff rob-mayes jacob-young
2018,9.269,169,war drama romance,tantrum-films umedia head-gear-films pinewood-pictures isle-of-man-film british-film-institute metrol-technology british-film-company,6.2,amma-asante,abbie-cornish george-mackay amandla-stenberg
2009,9.269,111,horror science-fiction,the-asylum,2.5,jack-perez,lorenzo-lamas debbie-gibson vic-chao
2004,9.269,219,drama,lee-daniels-entertainment dash-films,7.2,nicole-kassell,kevin-bacon kyra-sedgwick yasiin-bey
2019,9.268,60,horror mystery thriller,divide-/-conquer blumhouse-productions,4.9,owen-egerton,daniella-pineda austin-amelio elle-lamont
2017,9.267,107,history horror,toneplus-animation-studios absurda hooked-digital-media hemisphere-motion-picture-partners,3.6,michael-barrett,logan-huffman natalia-warner brandon-sklenar
2016,9.267,297,drama,waypoint-entertainment bloom netter-productions,6.1,gus-van-sant,matthew-mcconaughey naomi-watts ken-watanabe
1989,9.267,62,action adventure science-fiction,handistom-investment kings-road-entertainment kamisha-corporation,6.5,david-webb-peoples,rutger-hauer joan-chen delroy-lindo
2008,9.265,13,comedy drama romance,my-way-film-company twin-co.-ltd. universal-media-&-entertainment-group-limited,5.1,man-kei-chin,hikaru-wakana kaera-uehara serina-hayakawa
2003,9.265,81,comedy music romance,paramount,5.6,jonathan-lynn,cuba-gooding-jr. beyoncé mike-epps
1988,9.263,116,comedy,touchstone-pictures silver-screen-partners-iii,6.4,jim-abrahams,bette-midler lily-tomlin fred-ward
1996,9.262,257,drama romance,fox-searchlight-pictures recorded-picture-company jeremy-thomas-productions fiction-films france-2-cinéma,6.6,bernardo-bertolucci,jeremy-irons liv-tyler carlo-cecchi
2019,9.261,83,horror,the-outside-writers st.-agatha dragon-blood-holdings,5.2,darren-lynn-bousman,sabrina-kern carolyn-hennesy courtney-halverson
2017,9.261,101,comedy,unknown,8.2,stan-lathan,dave-chappelle
2016,9.261,117,comedy,dj-films,5.2,oliver-parker,mark-tandy russell-balogh andrew-havill
1995,9.261,124,fantasy animation science-fiction,studio-4°c bandai-visual kodamsha-co. shochiku-co. ltd.,7.6,unknown,shigeru-chiba hisao-egawa kayoko-fujii
2016,9.26,443,drama thriller,europacorp lava-bear-films transfilm-international ciné+ canal+,4.8,farren-blackburn,naomi-watts charlie-heaton jacob-tremblay
1990,9.258,246,comedy drama romance,touchstone-pictures australian-film-finance-corporation,6.2,peter-weir,gérard-depardieu andie-macdowell bebe-neuwirth
2007,9.257,36,documentary,blade-runner-partnership lauzirika-motion-picture-company,8.3,charles-de-lauzirika,daryl-hannah michael-deeley harrison-ford
2008,9.257,134,fantasy action thriller science-fiction mystery,yomiuri-telecasting-corporation-(ytv) horipro nikkatsu-pictures shueisha video-audio-project-(vap) warner-bros.-pictures shochiku-co. ltd. nippon-television-network-corporation,6.1,hideo-nakata,ken'ichi-matsuyama alistair-abell michael-adamthwaite
2018,9.255,1281,crime drama thriller,rai-cinema archimede le-pacte 01-distribution,7.2,matteo-garrone,marcello-fonte edoardo-pesce nunzia-schiano
2005,9.255,252,comedy action,bel-air-entertainment revolution-studios,5.4,stephen-herek,tommy-lee-jones christina-milian kelli-garner
1996,9.255,144,fantasy comedy family,touchstone-pictures interscope-communications,3.0,paul-michael-glaser,shaquille-o'neal francis-capra ally-walker
2015,9.254,658,comedy,artémis-productions m6-films 74-films pathé!,4.7,arthur-benzaquen,kev-adams jean-paul-rouve vanessa-guide
2012,9.254,158,action,wcg-entertainment-productions 20th-century-fox the-mark-gordon-company,6.0,john-woo,john-travolta christian-slater samantha-mathis
1979,9.254,343,drama comedy music romance war,cip-filmproduktion-gmbh united-artists,7.6,milos-forman,john-savage treat-williams beverly-d'angelo
2011,9.253,68,adventure drama,capital-arts-entertainment universal-studios-home-entertainment imagine-entertainment moonlighting-films universal-pictures,5.4,mike-elliott,sasha-jackson elizabeth-mathis ben-milliken
1996,9.253,316,drama,tribeca-productions miramax scott-rudin-productions,6.7,jerry-zaks,meryl-streep leonardo-dicaprio diane-keaton
2020,9.252,1,animation fantasy family,unknown,5.9,conrad-helten,chiara-zanni tabitha-st.-germain kathleen-barr
2007,9.251,151,action adventure science-fiction,jpm-productions,4.8,willy-milan,anthony-alonzo jennifer-kirkham johnny-monteiro
2010,9.251,98,action adventure fantasy horror,boll-kino-beteiligungs-gmbh-&-co.-kg,3.0,uwe-boll,natassia-malthe brendan-fletcher michael-paré
1999,9.249,126,drama,universal-pictures paramount,7.3,alan-parker,emily-watson robert-carlyle joe-breen
2008,9.248,93,drama,hallmark-hall-of-fame-productions hallmark-entertainment,8.1,peter-werner,james-wolk treat-williams dominic-scott-kay
2007,9.248,98,comedy romance,fox-searchlight-pictures,5.5,chris-rock,chris-rock kerry-washington gina-torres
2002,9.247,93,crime thriller,will-packer-productions,5.6,sam-miller,taraji-p.-henson idris-elba leslie-bibb
1986,9.246,238,horror science-fiction,taryn-prov empire-pictures,6.7,stuart-gordon,jeffrey-combs barbara-crampton ted-sorel
2015,9.244,352,comedy horror music,timpson-films mpi-media-group metalheads new-zealand-film-commission,6.3,jason-lei-howden,milo-cawthorne james-joshua-blake kimberley-crossman
1987,9.244,148,crime drama mystery thriller,filmhaus,7.3,david-mamet,lindsay-crouse joe-mantegna mike-nussbaum
2017,9.243,229,documentary,velvet-film arte independent-lens rtbf radio-télévision-suisse-(rts) shelter-prod,7.9,raoul-peck,samuel-l.-jackson james-baldwin martin-luther-king
2017,9.243,373,crime drama mystery thriller,black-bicycle-entertainment lotus-entertainment,5.3,sacha-gervasi,ansel-elgort chloë-grace-moretz david-strathairn
2017,9.242,68,drama,mike-tollin-productions campbell-grobman-films jeff-rice-films,6.5,philippe-falardeau,liev-schreiber elisabeth-moss ron-perlman
2013,9.241,152,thriller drama,filmworks/fx prettybird post-empire-films sodium-fox,3.8,paul-schrader,lindsay-lohan james-deen nolan-gerard-funk
2007,9.24,299,action animation science-fiction family,dc-comics dc-entertainment,7.0,unknown,adam-baldwin anne-heche james-marsters
2005,9.239,130,comedy drama family,20th-century-fox,6.3,wayne-wang,annasophia-robb jeff-daniels eva-marie-saint
2012,9.237,113,mystery drama action crime,grindstone-entertainment-group cheetah-vision paradox-entertainment emmett/furla-films envision-entertainment,4.7,jessy-terrero,50-cent robert-de-niro forest-whitaker
2017,9.236,199,action drama adventure,vita-aktiva ctb-film-company lemon-films-studio globus-film,7.2,klim-shipenko,vladimir-vdovichenkov pavel-derevyanko aleksandr-samoylenko
2019,9.235,2,action adventure horror thriller,city-productions cineblue-internationale-filmproduktionsgesellschaft lakeshore-entertainment screen-gems cinerenta-medienbeteiligungs-kg,5.1,bruce-hunt,piper-perabo morris-chestnut cole-hauser
2017,9.235,119,comedy,green-hummingbird-entertainment spring-pictures wing-and-a-prayer-pictures,5.7,gavin-wiesen,analeigh-tipton emile-hirsch j.k.-simmons
2020,9.234,1,drama,md-pictures,6.4,fajar-nugros,al-ghazali caitlin-halderman giorgino-abraham
2018,9.234,196,comedy drama,dickhouse-productions paramount,5.1,tim-kirkby,johnny-knoxville eleanor-worthington-cox chris-pontius
2016,9.234,113,thriller,heretic-films campfire,5.0,karl-mueller,fran-kranz adam-goldberg nicky-whelan
2013,9.234,207,drama thriller,les-films-du-worso,6.9,alain-guiraudie,pierre-deladonchamps christophe-paou patrick-d'assumçao
1994,9.234,114,action drama horror mystery thriller,dimension-films michael-obel-productions,6.2,ole-bornedal,ewan-mcgregor nick-nolte anais-evans
2014,9.232,8,romance drama,721-productions,6.4,paul-emmanuel,claire-kahane ryan-cerenko keith-hill
1975,9.232,112,drama history tv-movie,specialty-films locomotive hbo-films et-cetera-films,7.4,michael-sucsy,drew-barrymore jessica-lange jeanne-tripplehorn
1997,9.231,115,comedy,yorktown-productions universal-pictures the-bubble-factory sheinberg-productions,5.8,bryan-spicer,tim-allen kirstie-alley jay-o.-sanders
2007,9.23,151,comedy,desperate-pictures anonymous-content apollopromovie-&-co.-3.-filmproduktion,5.8,gregg-araki,anna-faris john-krasinski adam-brody
2015,9.229,101,comedy romance,rectangle-productions,6.2,jérôme-bonnell,anaïs-demoustier félix-moati sophie-verbeeck
